nome;numero;pagina
Um dia a igreja subirá;189;225
Igreja, corpo de Cristo;190;226
A noiva amada do Cordeiro;191;228
Vou pra Jerusalém;192;229
Há uma igreja que aguarda o Senhor;193;231
Na nova Jerusalém;194;232
Em breve estaremos na glória;195;233
Jesus nos prometeu;196;234
Maranata! Vem, Senhor Jesus;197;236
O dia está chegando;198;237
Aguardando a orientação do salvador;199;239
Vou para o meu lar;200;241
Sobre as nuvens Jesus vem;201;242
A Raabe veio a ordem;202;243
O fio da escarlata é o mistério;203;245
Marchai! Marchai!;204;247
A minha alma espera;205;249
No céu um dia vamos morar;206;249
Jesus prometeu nos buscar;207;251
Eu quero ir para o céu;208;253
Se eu falo do grande amor do Pai;209;255
Jesus voltará pra me buscar! (Maranata);210;257
O dias estão passando;211;260
Sei que Cristo voltará;212;262
Lá do doce porvir;213;263
Nós receberemos lá do céu;214;263
Eis que Jesus vem nas nuvens;215;264
Sobre as nuvens descerá (Ele virá);216;265
Verei meu grande Rei;217;266
Maranata;218;268
Ele virá no meio da noite;219;269
Onde vive o Rei da Glória;220;271
Vai raiar o dia;221;273
Deus habita no meio dos louvores;222;274
Pai, tua beleza me admira;223;275
Deus criou os céus e a terra;224;277
Eu vim aqui, Senhor;225;279
Irei cantar e adorar o Rei Jesus;226;280
A Jesus irei louvar;227;281
Hosana ao Filho de Davi;228;281
Cantai alegremente a Deus;229;282
Esta canção;230;283
Todo ser que tem fôlego;231;284
Hoje eu não quero pedir;232;285
Na cidade de Davi nasceu o Salvador;233;285
Sei que sou amado do meu Salvador;234;287
Senhor, eu te louvarei;235;288
Senhor, Deus tu és varão de guerra;236;288
Muitos motivos tenho;237;289
Eu vou cantar;238;290
Jesus é a nossa vitória;239;291
O Senhor dos exércitos está aqui;240;293
Exaltai, Exaltai;241;295
